,date,rawContent,cleaned_content
149,2022-09-26 13:18:47+00:00,"@dankbananas_ @RoveWorld_x @y00tsNFT You are one lucky guy, I wish it was me 😅.",you are one lucky guy i wish it was me
150,2022-09-26 13:18:46+00:00,Kepala BP Batam akan Jadi Keynote Speaker Bahas Percepatan Pembangunan di Tanjungpinang https://t.co/P6Rs2n7auF lewat @WartaKepri.co.id,kepala bp batam akan jadi keynote speaker bahas percepatan pembangunan di tanjungpinang lewat co id
151,2022-09-26 13:18:43+00:00,Berharap suatu saat nanti …,berharap suatu saat nanti
152,2022-09-26 13:18:43+00:00,"@CHIEtizensOFC Learning

#ChieFilomeno",learning
153,2022-09-26 13:18:43+00:00,Listening to The Tower Audiodrama at a foot reflexology appt while experiencing vertigo (amongst other less fun side effects) from my new medications was spiritual. Who was I before this???,listening tower audiodrama at foot reflexology appt while experiencing vertigo amongst other less fun side effects my new medications was spiritual who was i before this
154,2022-09-26 13:18:39+00:00,"During her hiatus from acting, Diaz married Good Charlotte guitarist Benji Madden in 2015 and had a daughter, Raddix in 2019. https://t.co/6SxE7VdZx6",during her hiatus acting diaz married good charlotte guitarist benji madden 2015 had daughter raddix 2019
155,2022-09-26 13:18:39+00:00,"I'm glad he's finally taking a break, I'll miss him and I hope he'd enjoy his break to the fullest 🥺🥺",im glad hes finally taking break ill miss him i hope hed enjoy his break fullest
156,2022-09-26 13:18:38+00:00,@milephakphum *don’t have,don t have
157,2022-09-26 13:18:37+00:00,@flacqua A twinning resistance curves initiated deeper redacts in trading permutes - the hard of bottoming out or where post-recovery legits the compliance price appeal. [L],twinning resistance curves initiated deeper redacts trading permutes hard bottoming out or where post recovery legits compliance price appeal
158,2022-09-26 13:18:37+00:00,"@HeyArunima So does threads twice or thrice a week work

daily 🤯",so does threads twice or thrice week work daily
159,2022-09-26 13:18:36+00:00,"Another Monday in a New Week 🥰
#mondaythoughts #MondayMotivation https://t.co/qhsir4Cb5a",another monday new week
160,2022-09-26 13:18:36+00:00,"First event of the week ✅ 🇸🇬
With my team at #Web3 connect, we had a blast 🔥
@rockx_official https://t.co/uo6piMJfMj",first event week with my team at connect we had blast
161,2022-09-26 13:18:36+00:00,Just posted a photo @ Langkawi Island https://t.co/PL51LySSx4,just posted photo langkawi island
162,2022-09-26 13:18:35+00:00,@mr_edward_x GM’🤍🖤,gm
