,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
1326,1326,2022-09-26 13:01:55+00:00,"@nextyourroom @FWBESS Tergantung sikon sih,agak susah",tergantung sikon sih agak susah,0.0
1357,1357,2022-09-26 13:01:29+00:00,@inluvwurglimps ily 💛,ily,0.0
1374,1374,2022-09-26 13:01:14+00:00,@naamericano13 nangizzz😭 https://t.co/MHOKg5h7gZ,nangizzz,0.0
1382,1382,2022-09-26 13:01:10+00:00,@nidiahhabahaah Kurangnya lagi congkak aja hari ini 🥲,kurangnya lagi congkak aja hari ini,0.0
1391,1391,2022-09-26 13:01:05+00:00,Innalillahiwainnailaihirojiuun.,innalillahiwainnailaihirojiuun,0.0
1394,1394,2022-09-26 13:01:02+00:00,"@wakuko22223 @RCsg4y あーーーーーん！私も食べたーい！
昔、近くのSOGOに店舗があったの懐かしいーー！！口の中でコロコロさせたーーい！",sogo,0.0
1477,1477,2022-09-26 13:00:04+00:00,@LitoshiLite 😅😆 nop,nop,0.0
1482,1482,2022-09-26 13:00:02+00:00,"@dayatpiliang Harus sabar, gaboleh emosi😖☺",harus sabar gaboleh emosi,0.0
1501,1501,2022-09-26 12:59:54+00:00,bangun tdr udh gelap aja,bangun tdr udh gelap aja,0.0
1530,1530,2022-09-26 12:59:19+00:00,@nftmikeyy Gm☕️,gm,0.0
1534,1534,2022-09-26 12:59:14+00:00,@ernestprakasa Jijik banget baca captionnya 🤮,jijik banget baca captionnya,0.0
1546,1546,2022-09-26 12:59:05+00:00,@justcalledmeay @FWBESS Ustad komplek gw aja ngudud nya cerutu anjir wkwkkw,ustad komplek gw aja ngudud nya cerutu anjir wkwkkw,0.0
1562,1562,2022-09-26 12:58:53+00:00,@LostBoyX_ gm lostboy,gm lostboy,0.0
1563,1563,2022-09-26 12:58:52+00:00,@Sridharappu16 அடேய் பெரிய ooola லோலோவ் இருக்கு 😁😁😁 https://t.co/dwAdn8I3B3,ooola,0.0
1568,1568,2022-09-26 12:58:50+00:00,@XaijaHawk kv,kv,0.0
1593,1593,2022-09-26 12:58:23+00:00,@OfficialJohor @socios $JDT,jdt,0.0
1609,1609,2022-09-26 12:58:07+00:00,@Kenna_Christina Hayi nawe kodwa 🤭,hayi nawe kodwa,0.0
1618,1618,2022-09-26 12:57:59+00:00,Awan!,awan,0.0
1620,1620,2022-09-26 12:57:57+00:00,@ThembiMatroshe Yoh😭,yoh,0.0
1622,1622,2022-09-26 12:57:57+00:00,@zenwasu28 @facial6lock uhm,uhm,0.0
1633,1633,2022-09-26 12:57:47+00:00,@ekopuutra @Frimawan Brisik,brisik,0.0
1658,1658,2022-09-26 12:57:29+00:00,@CNEWS Ça marche aussi avec Mussolini.,marche aussi avec mussolini,0.0
1660,1660,2022-09-26 12:57:29+00:00,@hanaudm_ mba hana,mba hana,0.0
1662,1662,2022-09-26 12:57:27+00:00,"@AtelierKirart ガジェスペからお邪魔しております❤
お花もちろん可愛いんですが、蕾っ‼️この咲かけとか、3枚目の青のグラデーションも……全てが素敵です❤",3,0.0
1672,1672,2022-09-26 12:57:17+00:00,Anoyying lah kampret solat sebelah org baru lepas merokok. Busuk lahanet,anoyying lah kampret solat sebelah org baru lepas merokok busuk lahanet,0.09090909090909091
1685,1685,2022-09-26 12:57:12+00:00,@renqi52088 @hotlink8182 听了都为他感到paiseh,paiseh,0.0
1709,1709,2022-09-26 12:56:59+00:00,다이스10000번째듣는중,10000,0.0
1713,1713,2022-09-26 12:56:56+00:00,"@baimeijian @nainaibao 1.资本本身就代表着一种权利
2.马克思时期的资本跟现在的资本不一样 那会的资本掌握在上层官僚手中所以才会出现“剥削来自资本”这种论调",1 2,0.0
1730,1730,2022-09-26 12:56:42+00:00,"@Numerousak 新冠病毒NT 

新冠病毒GP01/02/03

新冠病毒MK.2",nt gp01 02 03 mk 2,0.0
1754,1754,2022-09-26 12:56:20+00:00,@itzme_dharshni Aaha evlo azhaga vechurukanga😍,aaha evlo azhaga vechurukanga,0.0
1766,1766,2022-09-26 12:56:13+00:00,@lockmeinurheart awwww 🥺💖,awwww,0.0
1768,1768,2022-09-26 12:56:11+00:00,Cosmoverse Livestream⬇️⬇️,cosmoverse livestream,0.0
1775,1775,2022-09-26 12:56:04+00:00,"Jadikan Generasi Melek Digital untuk Ekonomi Indonesia, Telkom Hadirkan Sejumlah Solusi =&gt; https://t.co/AT006vsgN6.",jadikan generasi melek digital untuk ekonomi indonesia telkom hadirkan sejumlah solusi gt,0.08333333333333333
1776,1776,2022-09-26 12:56:04+00:00,"Dipercaya Jadi Ketua PMI Bintan, Hafizha Ingin PMI Terus Eksis =&gt; https://t.co/k4GBurEXGC.",dipercaya jadi ketua pmi bintan hafizha ingin pmi terus eksis gt,0.0
1795,1795,2022-09-26 12:55:42+00:00,@MLubberly Haha,haha,0.0
1800,1800,2022-09-26 12:55:36+00:00,@nu_online Innalilahi wainnailaihi rojiun.. allahummaghfirlahu waafihi wa'fuanhu..🙏,innalilahi wainnailaihi rojiun allahummaghfirlahu waafihi wafuanhu,0.0
1804,1804,2022-09-26 12:55:30+00:00,@IpBayoe @putrixut @FWBESS Suntik gk tuh,suntik gk tuh,0.0
1813,1813,2022-09-26 12:55:17+00:00,@pufferpog @Dumbthumbnails_ Wtf,wtf,0.0
1823,1823,2022-09-26 12:55:09+00:00,@leginCs @FCamposoficial Aaaa entendi,aaaa entendi,0.0
1825,1825,2022-09-26 12:55:06+00:00,@AraleSun2021 祝贺Arale和山大王恩恩爱爱，美美满满💐💐💐,arale,0.0
1832,1832,2022-09-26 12:54:55+00:00,@ryotome 230 sgd...,230 sgd,0.0
1839,1839,2022-09-26 12:54:50+00:00,Terimakasih ❤️ https://t.co/ow0YcxcF2B,terimakasih,0.0
1844,1844,2022-09-26 12:54:45+00:00,@qtpienyaa @pasarSKZ @skzmalaysia @Seoul_Storage dm！,dm,0.0
1852,1852,2022-09-26 12:54:38+00:00,@ehamirs @yangmuliaamanda Hahahahaha lurveee Victoria secreat,hahahahaha lurveee victoria secreat,0.0
1853,1853,2022-09-26 12:54:37+00:00,@teyvattabloid kokomi,kokomi,0.0
1875,1875,2022-09-26 12:54:12+00:00,@zyyynft_ uh-,uh,0.0
1886,1886,2022-09-26 12:53:57+00:00,@boobciarati HAHAHAHAHHAHA PLEASSSSSEEEEE,hahahahahhaha pleassssseeeee,0.0
1893,1893,2022-09-26 12:53:47+00:00,Pakaguwapo talaga naman. https://t.co/OPi54Hy74J,pakaguwapo talaga naman,0.0
1901,1901,2022-09-26 12:53:35+00:00,@Adil_utkSemua @Leonita_Lestari @jokowi @Andiarief__ Bukan...habis mbegal...,bukan habis mbegal,0.0
1918,1918,2022-09-26 12:53:22+00:00,Hiii,hiii,0.0
1939,1939,2022-09-26 12:53:03+00:00,@im_nanhaa @FWBESS Rajin ibadah,rajin ibadah,0.0
1942,1942,2022-09-26 12:53:02+00:00,@mooncat5997 Awoooo @MoonrunnersNFT,awoooo,0.0
1955,1955,2022-09-26 12:52:49+00:00,Capek,capek,0.0
2030,2030,2022-09-26 12:51:26+00:00,@peckpalit หล่อ&amp;เก่งมากค่ะ #เป๊กผลิตโชค #PeckPaLitChoke,amp,0.0
2036,2036,2022-09-26 12:51:23+00:00,我国新增1606起冠病病例 五人病逝 https://t.co/4ouARmZXwy,1606,0.0
2042,2042,2022-09-26 12:51:17+00:00,@kuroiibara @FWBESS Banget,banget,0.0
2054,2054,2022-09-26 12:51:02+00:00,@queennKrii Doneee,doneee,0.0
2060,2060,2022-09-26 12:50:56+00:00,@leginCs @FCamposoficial Vai ter*,vai ter,0.0
2067,2067,2022-09-26 12:50:45+00:00,"@ZEITZLERR @willam23314 @unicorndontbite @chairman_GLC WATOFAK! takuttttt,, gerak dulu",watofak takuttttt gerak dulu,0.0
2070,2070,2022-09-26 12:50:42+00:00,@oyasummeeeee @FWBESS Ayo banget ngomongin pd 2,ayo banget ngomongin pd 2,0.0
2071,2071,2022-09-26 12:50:42+00:00,@itsshuxs Midlairo una,midlairo una,0.0
2075,2075,2022-09-26 12:50:38+00:00,"Peluang baik pada Usahawan Johor!

Ikuti Maxis eKelas Usahawan secara bersemuka Sempena FIJO 2022.

Maxis eKelas Usahawan adalah sebuah program komuniti yang dibawakan oleh Maxis untuk membantu usahawan tempatan mengembangkan pengunaan digital perniagaan mereka.

1/3 https://t.co/JleTNgA2CQ",peluang baik pada usahawan johor ikuti maxis ekelas usahawan secara bersemuka sempena fijo 2022 maxis ekelas usahawan adalah sebuah program komuniti yang dibawakan oleh maxis untuk membantu usahawan tempatan mengembangkan pengunaan digital perniagaan mereka 1 3,0.09090909090909091
2076,2076,2022-09-26 12:50:36+00:00,@mo_thosago okay 😂,okay,0.0
2086,2086,2022-09-26 12:50:28+00:00,@IAPonomarenko Boss!,boss,0.0
2094,2094,2022-09-26 12:50:23+00:00,@RJ_Carnation @Cheq_Huda ada kah kita org kenal haha menyebuk  je kita nie kn huda,ada kah kita org kenal haha menyebuk je kita nie kn huda,0.0
2098,2098,2022-09-26 12:50:16+00:00,@vwvu_ Nanti jadi hayley williams,nanti jadi hayley williams,0.0
2102,2102,2022-09-26 12:50:11+00:00,@Herzaky__MP Kalah argumen? Argumennya sendiri tidak dikutip. Benar2 badut nasional kelompok anda ini. Lumayanlah untuk m'hibur rakyat.,kalah argumen argumennya sendiri tidak dikutip benar2 badut nasional kelompok anda ini lumayanlah untuk mhibur rakyat,0.06666666666666667
2110,2110,2022-09-26 12:50:05+00:00,"WGCガチャ引くか引かないか
取り敢えず聖ガチャの様子を待とう",wgc,0.0
2112,2112,2022-09-26 12:50:04+00:00,9月26日の結果 https://t.co/alTIKzzj2E,9 26,0.0
2114,2114,2022-09-26 12:50:03+00:00,@missufe @julibi9w0n @jihantesti Congrats,congrats,0.0
2117,2117,2022-09-26 12:50:01+00:00,@detikcom cair,cair,0.0
2155,2155,2022-09-26 12:49:23+00:00,@letupss mne nk tgk 😂,mne nk tgk,0.0
