,date,content,cleaned_content
103,2022-05-20 08:39:21+00:00,@BrickLili @Dainty4Deities @cocainecross It took me so long to realise he was from cork. Cork accent is sooooo thick. I worked with a cork guy and for the first few weeks couldn’t understand a single word that boy would tell me 😩😭,it took me so long realise he was cork cork accent is sooooo thick i worked with cork guy first few weeks couldn t understand single word that boy would tell me
104,2022-05-20 08:39:20+00:00,@beir_bua @Yo_Soy_Asin L😂L! https://t.co/aT7FJmMWlM,l l
105,2022-05-20 08:39:19+00:00,"@BeebsyMcA “David Tennant played Dennis Nilsen. He killed men and ate them. Nilsen, not Tennant, I mean”.... 🤣🤣🤣🤣",david tennant played dennis nilsen he killed men ate them nilsen not tennant i mean
106,2022-05-20 08:39:16+00:00,@UtdBreezy @damianbyrne1,
107,2022-05-20 08:39:15+00:00,From the forum: Thumped Kru Choonz. https://t.co/Z8frJRe6bD,forum thumped kru choonz
108,2022-05-20 08:39:15+00:00,"The Irish Times highlights important research from @trinitymed1, Prof Maria O'Sullivan @osullivan_tcd and @lauren_swan1 @HSELive showing that those in a disadvantaged socioeconomic position are more at risk of muscle loss with ageing.
https://t.co/bikRIj5M9q https://t.co/5KkF40Y7tL",irish times highlights important research prof maria osullivan showing that those disadvantaged socioeconomic position are more at risk muscle loss with ageing
109,2022-05-20 08:39:14+00:00,A social enterprise is a business that works primarily to improve the lives of people. Its business is social good. This project was approved by Government with support from the Dormant Accounts Fund. @DeptRCD @SocEntIE #SocEnt Find out more at https://t.co/NgCprIvOU3,social enterprise is business that works primarily improve lives people its business is social good this project was approved by government with support dormant accounts fund find out more at
110,2022-05-20 08:39:13+00:00,"@RealismSupport @essencetone43 @PMc276 @Matthew56292321 @Sledgr @Independent_ie @BallyBoy1987 I'm not the person who thinks it's funny to be a rapist. If you do, get therapy.",im not person who thinks its funny be rapist if you do get therapy
111,2022-05-20 08:39:13+00:00,"‘Social enterprises are businesses with a heart’ - Hear from Joan and Trish from @WeMakeGoodIre on how they create opportunities for talented designers from a wide range of backgrounds, helping them to develop valuable skills and improve their lives.
#TheFutureIsSocial #SocEnt https://t.co/cxD2tCbdzy",social enterprises are businesses with heart hear joan trish how they create opportunities talented designers wide range backgrounds helping them develop valuable skills improve their lives
112,2022-05-20 08:39:13+00:00,@_Florenciasilva Brishando 🙌🏼💫,brishando
113,2022-05-20 08:39:10+00:00,Few dejected Rangers fans in the airport this morning. Really took the gloss off starting my holiday.,few dejected rangers fans airport this morning really took gloss off starting my holiday
114,2022-05-20 08:39:08+00:00,"@DavidGray I had the pleasure of attending your show last night. Amazing!! White Ladder was the backing soundtrack to so many formative parts of my life. And the brilliance of your work is it stands the test of time and still resonates 20+ years later.

Thank you, thank you, thank you!",i had pleasure attending your show last night amazing white ladder was backing soundtrack so many formative parts my life brilliance your work is it stands test time still resonates 20 years later thank you thank you thank you
115,2022-05-20 08:39:06+00:00,"@RoddyQC Which is exactly why you’re not a fan of football, you haven’t an iota. Stick to your egg ball and let the rest of us scumbags get on with it 🤣",which is exactly why you re not fan football you haven t iota stick your egg ball let rest us scumbags get with it
116,2022-05-20 08:39:03+00:00,"@BobbieCavazos76 @CNBC @elonmusk I don't think they are the issues concerning Musk or others it is more about preaching, pointing fingers, arrogance and respect for crazy woke ideas that have close to zero appeal. That's why many are bolting..",i dont think they are issues concerning musk or others it is more about preaching pointing fingers arrogance respect crazy woke ideas that have close zero appeal thats why many are bolting
117,2022-05-20 08:39:01+00:00,"https://t.co/4o1h1Wlb2X 109: 8 guesses

🟨🟩🟨🟩🟨
🟨🟩🟨🟨🟨
🟩🟩🟩🟩🟩
🟩🟨🟨🟨🟨
🟩🟩🟩🟩🟩

&lt;6:🟩 &lt;11:🟨 &lt;16:🟧 16+:🟥
#squareword #squareword109",109 8 guesses lt 6 lt 11 lt 16 16
118,2022-05-20 08:39:00+00:00,@SH_92_x https://t.co/OflwGi9t69,
119,2022-05-20 08:38:57+00:00,@1919superleeds I’m superstitious 😂😂,i m superstitious
120,2022-05-20 08:38:56+00:00,Punished? Taxes pay for public services. Taxes are not a burden but are a charge for public services. Property is taxed in virtually every country and is much higher rates than in Ireland. Property tax is very stable tax for government and is levied on the wealth of the owner. https://t.co/xchszVNh1W,punished taxes pay public services taxes are not burden but are charge public services property is taxed virtually every country is much higher rates than ireland property tax is very stable tax government is levied wealth owner
121,2022-05-20 08:38:55+00:00,@captain_kimi Stop the Bullshit 0.07 eth 💚 https://t.co/CbXTWkQRvx,stop bullshit 0 07 eth
122,2022-05-20 08:38:53+00:00,@rescoffi4 Il m'insuporte plus que tout au final,il minsuporte plus que tout au final
123,2022-05-20 08:38:50+00:00,"⚡As part of the SharePoint Week, I had 3 blog post published in the @EuropeanSP Blog 😀 
Check them out:
▶Hiding a List from the Site Contents using Power Automate: https://t.co/525MGDnxb0 
(+ in comments below)👇
#SharePoint #PowerAutomate #Microsoft365 #ESPC22 #ListFormatting https://t.co/He1lfvLtoY",as part sharepoint week i had 3 blog post published blog check them out hiding list site contents using power automate comments below
124,2022-05-20 08:38:50+00:00,@AndyMc_25 Lads the kids 18 playing premier division football. Plenty to learn,lads kids 18 playing premier division football plenty learn
125,2022-05-20 08:38:49+00:00,@oel159 @parcelforce Hi Riggs! Can you please provide your tracking number via DM so we can look into this for you? -Sorcha,hi riggs can you please provide your tracking number via dm so we can look into this you sorcha
126,2022-05-20 08:38:48+00:00,hope everyone is keeping @brittany_broski in their thoughts today on harry day can’t imagine what hole she’s in rn,hope everyone is keeping their thoughts today harry day can t imagine what hole she s rn
127,2022-05-20 08:38:48+00:00,"@jillsdaniel @chenjunataraj if zelensky can give 6min inaugural speech, can’t understand what’s bothering, if an actor praising his prime minister in a separate interview 😏",if zelensky can give 6min inaugural speech can t understand what s bothering if actor praising his prime minister separate interview
128,2022-05-20 08:38:47+00:00,Ms. Sherlock Kavanagh's 3rd Year Home Economics Students celebrate after completing their Junior Cycle Practical Exam 👩‍🍳🙌😃 https://t.co/L3ZtVvEtnS,ms sherlock kavanaghs 3rd year home economics students celebrate after completing their junior cycle practical exam
129,2022-05-20 08:38:44+00:00,@LDNFootbalI @TDave90 why does Gary sound like that lol,why does gary sound like that lol
130,2022-05-20 08:38:44+00:00,"Open source software has been, and always will be critical to every aspect of the internet. Such an important project needs a chain that can offer guarantees of being future-proof. #Tezos is the only chain that has consistently proven that its up to the task https://t.co/NyBiXmpQn6",open source software has been always will be critical every aspect internet such important project needs chain that can offer guarantees being future proof is only chain that has consistently proven that its up task
